model_name,fold,time_to_target,final_mse,total_training_time,reached_target
ALS(rank=150),2,17.566989421844482,0.18654051423072815,274.2860310077667,True
ALS(rank=200),4,30.85317611694336,0.1578274667263031,423.8626158237457,True
ALS(rank=150),5,18.288827657699585,0.18609726428985596,265.17041754722595,True
ALS(rank=150),1,17.8278865814209,0.18684953451156616,285.6147904396057,True
ALS(rank=150),4,18.381671667099,0.18753938376903534,269.3393626213074,True
SoftImpute(rank=50),2,12.63655710220337,0.606356680393219,202.75924277305603,True
ALS(rank=200),1,30.89599323272705,0.15740860998630524,421.2027430534363,True
ALS(rank=100),5,8.782529830932617,0.23617829382419586,134.25972318649292,True
SoftImpute(rank=100),4,17.61281704902649,0.5992143154144287,272.999929189682,True
SoftImpute(rank=200),3,28.597471714019775,0.6003803610801697,416.6439354419708,True
ALS(rank=100),1,9.129539012908936,0.23712365329265594,134.20380449295044,True
SoftImpute(rank=150),1,22.77324151992798,0.598872721195221,367.2163190841675,True
ALS(rank=50),2,3.8008766174316406,0.33363598585128784,55.928797483444214,True
SoftImpute(rank=150),5,23.560866832733154,0.5989323258399963,366.0269753932953,True
SoftImpute(rank=150),3,22.69238781929016,0.6004832983016968,367.2830078601837,True
SoftImpute(rank=200),5,26.993584632873535,0.5988454222679138,417.8756904602051,True
SoftImpute(rank=100),3,17.658050537109375,0.600830614566803,271.9406883716583,True
SoftImpute(rank=50),1,12.736379384994507,0.6049409508705139,203.73831915855408,True
SoftImpute(rank=150),2,23.4842848777771,0.6000165343284607,366.1361827850342,True
ALS(rank=50),3,3.6826367378234863,0.333429753780365,55.04576587677002,True
SoftImpute(rank=200),2,26.712178707122803,0.5999072790145874,415.7747452259064,True
SoftImpute(rank=50),4,12.855529308319092,0.604992687702179,202.5322744846344,True
ALS(rank=50),4,3.8184902667999268,0.33441242575645447,55.0927836894989,True
SoftImpute(rank=100),5,17.869065046310425,0.5992527008056641,273.2254660129547,True
SoftImpute(rank=100),1,16.87481188774109,0.5992028713226318,271.4456193447113,True
SoftImpute(rank=100),2,17.837321281433105,0.600345253944397,272.74892258644104,True
SoftImpute(rank=50),3,12.49182391166687,0.6067123413085938,202.60311818122864,True
ALS(rank=200),3,31.166399717330933,0.15652841329574585,440.2992992401123,True
ALS(rank=200),5,26.17303442955017,0.15671059489250183,411.3531973361969,True
SoftImpute(rank=200),4,27.453214645385742,0.5987619161605835,420.6567108631134,True
ALS(rank=150),3,18.924167156219482,0.18615835905075073,288.99478816986084,True
SoftImpute(rank=50),5,13.508784770965576,0.604886531829834,201.63049578666687,True
SoftImpute(rank=200),1,27.905414581298828,0.5988002419471741,418.0216226577759,True
ALS(rank=50),5,3.6254186630249023,0.3325497806072235,53.46310472488403,True
ALS(rank=100),2,9.451313734054565,0.23697862029075623,137.83446145057678,True
ALS(rank=200),2,27.60671043395996,0.15695887804031372,434.15612268447876,True
ALS(rank=100),4,8.396090030670166,0.23783016204833984,131.33693933486938,True
ALS(rank=50),1,3.652653932571411,0.33359062671661377,54.588125705718994,True
ALS(rank=100),3,8.468568086624146,0.23647083342075348,133.4647696018219,True
SoftImpute(rank=150),4,24.934394121170044,0.5988446474075317,363.6146457195282,True
